date,asset,realized,historical_mean,ols4,ols4_restricted
1968-11-01,Hlth_excess,0.077,0.00960697,0.00850423,0.00850423
1968-11-01,Utils_excess,0.0839,0.00741474,0.00287226,0.00287226
1968-11-01,Other_excess,0.0729,0.00791733,0.00396409,0.00396409
1968-12-01,NoDur_excess,-0.0145,0.00730736,0.01022283,0.01022283
1968-12-01,Durbl_excess,-0.0489,0.01190557,0.00244228,0.00244228
1968-12-01,Manuf_excess,-0.0375,0.00957495,-0.0002672,0.0
1968-12-01,Enrgy_excess,-0.0296,0.00919384,0.00114823,0.00114823
1968-12-01,HiTec_excess,-0.0577,0.01177177,0.01159374,0.01159374
1968-12-01,Telcm_excess,-0.071,0.00636879,0.00179748,0.00179748
1968-12-01,Shops_excess,-0.0456,0.00885467,0.00805949,0.00805949
1968-12-01,Hlth_excess,-0.0145,0.00974095,0.00981882,0.00981882
1968-12-01,Utils_excess,-0.0335,0.0075668,0.00230728,0.00230728
1968-12-01,Other_excess,-0.0411,0.00804652,0.00519682,0.00519682
1969-01-01,NoDur_excess,-0.0172,0.00726409,0.01137121,0.01137121
1969-01-01,Durbl_excess,-0.0225,0.01178492,0.00220152,0.00220152
1969-01-01,Manuf_excess,-0.0098,0.00948155,-0.00124463,0.0
1969-01-01,Enrgy_excess,-0.0167,0.00911687,0.00173168,0.00173168
1969-01-01,HiTec_excess,-0.0521,0.01163393,0.01207846,0.01207846
1969-01-01,Telcm_excess,0.0064,0.00621528,-0.0018698,0.0
1969-01-01,Shops_excess,-0.015,0.00874663,0.00769139,0.00769139
1969-01-01,Hlth_excess,-0.0076,0.00969286,0.01072125,0.01072125
1969-01-01,Utils_excess,0.0191,0.00748532,0.00123731,0.00123731
1969-01-01,Other_excess,0.0025,0.00794901,0.00497004,0.00497004
1969-02-01,NoDur_excess,-0.0708,0.00721564,0.01151166,0.01151166
1969-02-01,Durbl_excess,-0.0404,0.01171703,0.00225811,0.00225811
1969-02-01,Manuf_excess,-0.0619,0.00944337,-0.0024378,0.0
1969-02-01,Enrgy_excess,-0.0541,0.00906574,0.00170081,0.00170081
1969-02-01,HiTec_excess,-0.0408,0.01150772,0.01010727,0.01010727
1969-02-01,Telcm_excess,-0.038,0.00621564,-0.0033313,0.0
1969-02-01,Shops_excess,-0.0461,0.0086996,0.0078331,0.0078331
1969-02-01,Hlth_excess,-0.0563,0.00965861,0.01088922,0.01088922
1969-02-01,Utils_excess,-0.0568,0.00750832,0.00034221,0.00034221
1969-02-01,Other_excess,-0.0887,0.00793822,0.0049469,0.0049469
1969-03-01,NoDur_excess,0.0025,0.00706146,0.00958575,0.00958575
1969-03-01,Durbl_excess,0.0464,0.01161403,0.00197691,0.00197691
1969-03-01,Manuf_excess,0.0219,0.00930237,-0.00472645,0.0
1969-03-01,Enrgy_excess,0.069,0.00894091,0.00116148,0.00116148
1969-03-01,HiTec_excess,0.0498,0.01140435,0.00861355,0.00861355
1969-03-01,Telcm_excess,-0.0088,0.00612826,-0.00595133,0.0
1969-03-01,Shops_excess,0.0461,0.0085913,0.00680666,0.00680666
1969-03-01,Hlth_excess,0.0289,0.00952826,0.00950586,0.00950586
1969-03-01,Utils_excess,-0.0175,0.00738123,-0.00227085,0.0
1969-03-01,Other_excess,0.0028,0.00774723,0.00206435,0.00206435
1969-04-01,NoDur_excess,0.0052,0.00705247,0.00924432,0.00924432
1969-04-01,Durbl_excess,0.0069,0.01168264,0.00357176,0.00357176
1969-04-01,Manuf_excess,0.0077,0.00932722,-0.00451055,0.0
1969-04-01,Enrgy_excess,-0.0089,0.00905937,0.00281432,0.00281432
1969-04-01,HiTec_excess,0.0333,0.01148008,0.00873301,0.00873301
1969-04-01,Telcm_excess,0.0715,0.00609882,-0.00606016,0.0
1969-04-01,Shops_excess,0.0341,0.00866529,0.00835294,0.00835294
1969-04-01,Hlth_excess,0.0445,0.00956647,0.00984411,0.00984411
1969-04-01,Utils_excess,0.0081,0.00733215,-0.00381695,0.0
1969-04-01,Other_excess,0.013,0.00773748,0.00178584,0.00178584
1969-05-01,NoDur_excess,0.0073,0.00704882,0.00766645,0.00766645
1969-05-01,Durbl_excess,-0.0035,0.01167323,0.0003931,0.0003931
1969-05-01,Manuf_excess,-0.0134,0.00932402,-0.00190205,0.0
1969-05-01,Enrgy_excess,0.0352,0.00902402,0.00154924,0.00154924
1969-05-01,HiTec_excess,-0.0208,0.01152303,0.01179375,0.01179375
1969-05-01,Telcm_excess,0.0059,0.00622756,-0.000522,0.0
1969-05-01,Shops_excess,0.0,0.00871535,0.00655315,0.00655315
1969-05-01,Hlth_excess,0.012,0.00963524,0.00985904,0.00985904
1969-05-01,Utils_excess,-0.0046,0.00733366,0.00132982,0.00132982
