date,asset,realized,historical_mean,elastic_net,elastic_net_restricted,elastic_net_alpha,elastic_net_l1_ratio
1969-05-01,Telcm_excess,0.0059,0.00622756,0.0127354,0.0127354,0.001,0.5
1969-05-01,Shops_excess,0.0,0.00871535,0.00332736,0.00332736,0.001,0.5
1969-05-01,Hlth_excess,0.012,0.00963524,0.00520893,0.00520893,0.001,0.5
1969-05-01,Utils_excess,-0.0046,0.00733366,0.00738941,0.00738941,0.001,0.5
1969-05-01,Other_excess,-0.0168,0.00774783,0.00911567,0.00911567,0.001,0.5
1969-06-01,NoDur_excess,-0.0788,0.00704931,0.01476241,0.01476241,0.001,0.5
1969-06-01,Durbl_excess,-0.065,0.01164342,0.01597241,0.01597241,0.001,0.5
1969-06-01,Manuf_excess,-0.0743,0.00927937,0.00589619,0.00589619,0.001,0.5
1969-06-01,Enrgy_excess,-0.1047,0.00907544,0.00284163,0.00284163,0.001,0.5
1969-06-01,HiTec_excess,-0.0067,0.01145953,0.01960064,0.01960064,0.001,0.5
1969-06-01,Telcm_excess,-0.0451,0.00622692,-6.127e-05,0.0,0.001,0.5
1969-06-01,Shops_excess,-0.0602,0.00869823,0.01624889,0.01624889,0.001,0.5
1969-06-01,Hlth_excess,-0.0555,0.00963988,0.02079315,0.02079315,0.001,0.5
1969-06-01,Utils_excess,-0.0625,0.00731022,0.00669228,0.00669228,0.001,0.5
