date,model,cum_r2_os
1972-07-01,ols4_restricted,0.005311702790064465
1972-07-01,ols_restricted,-0.008272667506027908
1972-07-01,random_forest,-0.00224764675078154
1972-07-01,ridge_restricted,0.00788736455266884
1972-08-01,elastic_net_restricted,-0.012644771262335597
1972-08-01,ols4_restricted,0.002096238089203861
1972-08-01,ols_restricted,-0.008255523469475345
1972-08-01,random_forest,-0.004022665851356933
1972-08-01,ridge_restricted,0.006682357110301884
1972-09-01,elastic_net_restricted,-0.013653488701372262
1972-09-01,ols4_restricted,0.002564439913676009
1972-09-01,ols_restricted,-0.01013860376752106
1972-09-01,random_forest,-0.0037060167830677226
1972-09-01,ridge_restricted,0.0071616230185660105
1972-10-01,elastic_net_restricted,-0.014284827661269728
1972-10-01,ols4_restricted,0.0020073900957533588
1972-10-01,ols_restricted,-0.010892298107938736
1972-10-01,random_forest,-0.004027494631341788
1972-10-01,ridge_restricted,0.007108730445263578
1972-11-01,elastic_net_restricted,-0.013023710869684435
1972-11-01,ols4_restricted,-0.0016336032462442973
1972-11-01,ols_restricted,-0.007945454596167644
1972-11-01,random_forest,-0.006117906540631657
1972-11-01,ridge_restricted,0.005776669741658557
1972-12-01,elastic_net_restricted,-0.013515786358457927
1972-12-01,ols4_restricted,-0.0016301285725783487
1972-12-01,ols_restricted,-0.009367076498242899
1972-12-01,random_forest,-0.006121478935107505
1972-12-01,ridge_restricted,0.005821153667086809
1973-01-01,elastic_net_restricted,-0.016489890531569462
1973-01-01,ols4_restricted,0.0008346783210447129
1973-01-01,ols_restricted,-0.01615913287719837
1973-01-01,random_forest,-0.0032577944643468527
1973-01-01,ridge_restricted,0.006692200737757103
1973-02-01,elastic_net_restricted,-0.01542247735367277
1973-02-01,ols4_restricted,0.003900008585453718
1973-02-01,ols_restricted,-0.015399918774755782
1973-02-01,random_forest,0.001497630629055413
1973-02-01,ridge_restricted,0.008693962945166412
1973-03-01,elastic_net_restricted,-0.014483130774719988
1973-03-01,ols4_restricted,0.004841630142143149
1973-03-01,ols_restricted,-0.014340131265829637
1973-03-01,random_forest,0.0026013714993663893
1973-03-01,ridge_restricted,0.009306164149566466
1973-04-01,elastic_net_restricted,-0.014567839684168239
1973-04-01,ols4_restricted,0.008473974738424683
1973-04-01,ols_restricted,-0.015493802838130611
1973-04-01,random_forest,0.00670503027762831
1973-04-01,ridge_restricted,0.010994821124621468
1973-05-01,elastic_net_restricted,-0.01541123496425605
1973-05-01,ols4_restricted,0.010741256446886427
1973-05-01,ols_restricted,-0.017555633306173456
1973-05-01,random_forest,0.008746420915109087
1973-05-01,ridge_restricted,0.011996682405401771
1973-06-01,elastic_net_restricted,-0.015152923770675763
1973-06-01,ols4_restricted,0.012351576716148694
1973-06-01,ols_restricted,-0.017914623166568777
1973-06-01,random_forest,0.011015175487055762
