date,asset_i,asset_j,inverse_covariance
1967-04-01,Enrgy_excess,Telcm_excess,23.1479562791
1967-04-01,Enrgy_excess,Shops_excess,-7.0727979338
1967-04-01,Enrgy_excess,Hlth_excess,-45.8345485128
1967-04-01,Enrgy_excess,Utils_excess,-50.3644089392
1967-04-01,Enrgy_excess,Other_excess,-86.0729318133
1967-04-01,HiTec_excess,NoDur_excess,-131.0868202539
1967-04-01,HiTec_excess,Durbl_excess,-36.3326352051
1967-04-01,HiTec_excess,Manuf_excess,-1005.4089183159
1967-04-01,HiTec_excess,Enrgy_excess,82.9462197043
1967-04-01,HiTec_excess,HiTec_excess,1445.5629374575
1967-04-01,HiTec_excess,Telcm_excess,-63.950063082
1967-04-01,HiTec_excess,Shops_excess,-89.8023832089
1967-04-01,HiTec_excess,Hlth_excess,-181.8838034396
1967-04-01,HiTec_excess,Utils_excess,-295.7521072771
1967-04-01,HiTec_excess,Other_excess,65.7910498985
1967-04-01,Telcm_excess,NoDur_excess,-167.5605035974
1967-04-01,Telcm_excess,Durbl_excess,23.1198404833
1967-04-01,Telcm_excess,Manuf_excess,-130.0472073217
1967-04-01,Telcm_excess,Enrgy_excess,23.1479562791
1967-04-01,Telcm_excess,HiTec_excess,-63.950063082
1967-04-01,Telcm_excess,Telcm_excess,1533.7295906393
1967-04-01,Telcm_excess,Shops_excess,-72.4230237532
1967-04-01,Telcm_excess,Hlth_excess,-37.0948750381
1967-04-01,Telcm_excess,Utils_excess,-383.3714048693
1967-04-01,Telcm_excess,Other_excess,-94.4550529398
1967-04-01,Shops_excess,NoDur_excess,-994.2859696998
1967-04-01,Shops_excess,Durbl_excess,-236.6578810572
1967-04-01,Shops_excess,Manuf_excess,-89.2944034975
1967-04-01,Shops_excess,Enrgy_excess,-7.0727979338
1967-04-01,Shops_excess,HiTec_excess,-89.8023832089
1967-04-01,Shops_excess,Telcm_excess,-72.4230237532
1967-04-01,Shops_excess,Shops_excess,1545.2777424729
1967-04-01,Shops_excess,Hlth_excess,-129.6289242225
1967-04-01,Shops_excess,Utils_excess,-128.1054697899
1967-04-01,Shops_excess,Other_excess,78.2283331563
1967-04-01,Hlth_excess,NoDur_excess,-552.415049031
1967-04-01,Hlth_excess,Durbl_excess,66.3650827536
1967-04-01,Hlth_excess,Manuf_excess,-41.9911766241
1967-04-01,Hlth_excess,Enrgy_excess,-45.8345485128
1967-04-01,Hlth_excess,HiTec_excess,-181.8838034396
1967-04-01,Hlth_excess,Telcm_excess,-37.0948750381
1967-04-01,Hlth_excess,Shops_excess,-129.6289242225
1967-04-01,Hlth_excess,Hlth_excess,917.471255082
1967-04-01,Hlth_excess,Utils_excess,-27.4206204139
1967-04-01,Hlth_excess,Other_excess,27.1321999245
1967-04-01,Utils_excess,NoDur_excess,-59.2297910874
1967-04-01,Utils_excess,Durbl_excess,-13.3775394887
1967-04-01,Utils_excess,Manuf_excess,311.0532123949
1967-04-01,Utils_excess,Enrgy_excess,-50.3644089392
1967-04-01,Utils_excess,HiTec_excess,-295.7521072771
1967-04-01,Utils_excess,Telcm_excess,-383.3714048693
1967-04-01,Utils_excess,Shops_excess,-128.1054697899
1967-04-01,Utils_excess,Hlth_excess,-27.4206204139
1967-04-01,Utils_excess,Utils_excess,843.4631123244
1967-04-01,Utils_excess,Other_excess,-268.9871246432
1967-04-01,Other_excess,NoDur_excess,-426.7766295418
1967-04-01,Other_excess,Durbl_excess,56.4462808124
1967-04-01,Other_excess,Manuf_excess,-854.9191713766
1967-04-01,Other_excess,Enrgy_excess,-86.0729318133
1967-04-01,Other_excess,HiTec_excess,65.7910498985
1967-04-01,Other_excess,Telcm_excess,-94.4550529398
1967-04-01,Other_excess,Shops_excess,78.2283331563
1967-04-01,Other_excess,Hlth_excess,27.1321999245
1967-04-01,Other_excess,Utils_excess,-268.9871246432
1967-04-01,Other_excess,Other_excess,1300.4226356485
1967-05-01,NoDur_excess,NoDur_excess,3622.9123172968
1967-05-01,NoDur_excess,Durbl_excess,-11.326173809
1967-05-01,NoDur_excess,Manuf_excess,-335.06034777
1967-05-01,NoDur_excess,Enrgy_excess,-24.7751274563
